dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
hierarchical_sales/W/short,STRIDE (+Chronos-2),442.9979785983845,442.9979785983845,8.593726529913434,0.7040509716655653,0.530051257579846,0.4454304464792801,6.564754203920367,21.047517159949876,0.9663018079196899,0.3945421884926274,0.3317615944846054,1
loop_seattle/5T/short,STRIDE (+Chronos-2),41.0695683372033,41.0695683372033,3.4722993455066034,0.5492874580407409,0.08995271747695403,0.07681760524694642,4.305196752037693,6.408554309452585,0.10989255738622457,0.05954226751662322,0.047444034330864304,1
loop_seattle/H/short,STRIDE (+Chronos-2),37.61062069601202,37.61062069601202,3.265847068381759,0.6663845529269419,0.09934755293927093,0.08230610120679145,5.633620168655329,6.132749847826179,0.10855590868031206,0.05780881413983992,0.04622931889377587,1
loop_seattle/D/short,STRIDE (+Chronos-2),6.7234475024590425,6.7234475024590425,1.7152892853822501,0.5305910445916016,0.03248737960654024,0.03176812061461379,4.2901915561468495,2.592961145574504,0.04633967891793709,0.03065451052810901,0.02437898714049523,1
sz_taxi/15T/short,STRIDE (+Chronos-2),16.519254318814866,16.519254318814866,2.7360292802654635,0.5466070416405345,1093155541599.2283,0.40086301327916146,3.898832773791286,4.064388554114243,0.3800377300240229,0.25583045102781804,0.2012746454922588,1
sz_taxi/H/short,STRIDE (+Chronos-2),6.9691936786358175,6.9691936786358175,1.825281029073601,0.5561698441229773,0.945105935773279,0.2962616610730815,3.9581294038564745,2.639923044074546,0.24592512222440466,0.17003619146260876,0.1341809187982803,1
m_dense/H/short,STRIDE (+Chronos-2),30491.72076388889,30491.72076388889,79.7669154188368,0.701435292708281,0.2716043822212238,0.22953793949551052,6.344063260927422,174.61878697290533,0.3097302456831606,0.14148664492725946,0.11357301072921186,1
m_dense/D/short,STRIDE (+Chronos-2),3799.7170370370372,3799.7170370370372,33.50052083333333,0.5194426618051616,0.09749862863188588,0.07547181023491753,4.952362253685059,61.64184485426306,0.10671114718977055,0.05799435461465711,0.04598677192521774,1
ett1/15T/short,STRIDE (+Chronos-2),4.395131138392857,4.395131138392857,1.070225597563244,0.6864628109938155,0.4931424693595518,0.23481165568033854,4.423095903132797,2.0964568057541415,0.39631755808019176,0.20231716401550337,0.15687155578494683,7
ett1/H/short,STRIDE (+Chronos-2),99.14221540178572,99.14221540178572,5.00807872953869,0.8354293309303162,0.4712653387160528,0.2680681682768322,6.071216062602044,9.957018399188872,0.464734784539636,0.23374752320627393,0.18015482343910072,7
