dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,num_variates
ett2/H/short,STRIDE (+Timer-S1),92.4660900297619,92.4660900297619,6.052215866815477,0.7150823471225262,0.11366216250442503,0.10868595668247767,5.254098875334971,9.615928973830968,0.12195673478113953,0.0767589368969058,0.06042517471233707,7
ett2/D/short,STRIDE (+Timer-S1),103471.2,103471.2,194.55736607142856,1.3029073568228922,0.4001892574249752,0.13613343011765253,12.441016032346418,321.66939549792426,0.18409986109839394,0.11135030118104759,0.09179244388370571,7
ett2/W/short,STRIDE (+Timer-S1),4032709.1428571427,4032709.1428571427,1277.9457310267858,0.7882920405601482,0.11714751379830497,0.12620295797075545,9.530271878683143,2008.1606367163815,0.16845385889982262,0.10720003465859226,0.09327073208445466,7
jena_weather/10T/short,STRIDE (+Timer-S1),800.2962301587302,800.2962301587302,5.651286969866072,0.28574115073546,0.352440894586938,0.5395374664729549,2.5168784941744202,28.289507421634795,0.1757133104673822,0.03510157766539736,0.028354796831103393,21
jena_weather/H/short,STRIDE (+Timer-S1),1184.8667502088554,1184.8667502088554,9.14193850511696,0.5422606856181066,2.1065071548353256,0.6095422066792896,4.61712785009484,34.421893472161806,0.21100400789665938,0.0560394989916668,0.04510812248275601,21
jena_weather/D/short,STRIDE (+Timer-S1),436.45625,436.45625,10.280495876736111,1.0754887886495543,0.6958132774495029,0.4639344230530754,7.086095472799735,20.891535367224687,0.12580118854197359,0.06190538786934875,0.048765131248710576,21
bitbrains_fast_storage/5T/short,STRIDE (+Timer-S1),1608706.8399312317,1608706.8399312317,149.371286409414,0.6908481895967914,1.706486040769591,0.7491080230993179,13.173036893987087,1268.348075226683,3.9822992600241536,0.46898889583662084,0.3720004033990905,2
bitbrains_fast_storage/H/short,STRIDE (+Timer-S1),2208353.0742958984,2208353.0742958984,243.51948984761245,0.9973926372165,2.638628908570661,0.5879779814790971,19.431451875310415,1486.0528504383344,4.235733337623737,0.6941096483913105,0.5556236222412508,2
bitbrains_rnd/5T/short,STRIDE (+Timer-S1),1517792.2707100941,1517792.2707100941,115.75331815882639,1.6707844092428141,1.110085227031172,0.6854555324506139,52.770866870881285,1231.9871227858246,5.040935667673128,0.47362916329749916,0.3816077081050065,2
bitbrains_rnd/H/short,STRIDE (+Timer-S1),1923797.1101828567,1923797.1101828567,151.7751849145923,5.815581775887541,1.3844878944566366,0.5764297887142547,195.27080329874713,1387.0101334102994,6.070235043756938,0.6642424767121072,0.6030012600799348,2
bizitobs_application/10S/short,STRIDE (+Timer-S1),299081.6,299081.6,303.06225694444447,1.1340850959726552,0.015731707678900825,0.01586631774902344,9.500442979368984,546.8835342191242,0.021091111958872345,0.011687899875886032,0.009008512462358164,2
bizitobs_service/10S/short,STRIDE (+Timer-S1),2425.222222222222,2425.222222222222,19.55011636078042,0.7724131299792786,0.08415811690073165,0.05728102507414641,7.362838503126826,49.24654528210301,0.03648341404491928,0.01448335077579363,0.011555291468034627,2
bizitobs_l2c/5T/short,STRIDE (+Timer-S1),13.372953869047619,13.372953869047619,2.288029988606771,0.23856970256779095,0.13012974891674403,0.18621517363048734,1.6911592716173154,3.656904957617523,0.12559291827877805,0.07858021105522502,0.0624172017549482,7
bizitobs_l2c/H/short,STRIDE (+Timer-S1),48.62872023809524,48.62872023809524,4.2224217974950395,0.40707062959796103,0.3504193715340228,0.5851186116536459,2.4363015509364616,6.973429589383924,0.37588575338822566,0.22759937246523593,0.17551615133535203,7
electricity/15T/medium,STRIDE (+Timer-S1),280489.32433286705,280489.32433286705,56.249240047420464,0.8557221663157266,0.1289981587110104,0.13574088486045954,8.311925757474523,529.6124284161646,0.9125755392613252,0.0969231041703925,0.07942459917882544,1
electricity/H/medium,STRIDE (+Timer-S1),6926567.822080518,6926567.822080518,254.44501605609517,1.0791384619555777,0.21315820788061374,0.1313295488834033,11.371050712075123,2631.83734719312,1.0272928243197832,0.09931827263456576,0.08196102269660621,1
solar/10T/medium,STRIDE (+Timer-S1),17.87358563681984,17.87358563681984,1.8785286933546228,0.8214740913722683,2.348362366377384,1.46286360030217,4.42048064405413,4.2277163619168965,0.9381470458994039,0.4168529753279954,0.3147737655452018,1
solar/H/medium,STRIDE (+Timer-S1),421.9113423813869,421.9113423813869,8.074488670924573,0.6173892346371592,3.34559109470607,1.3643968362225931,4.861133312618748,20.540480578150717,0.7399160458082388,0.2908619253859647,0.23298559665278398,1
kdd_cup_2018/H/medium,STRIDE (+Timer-S1),4069.113548902336,4069.113548902336,18.19235634294384,0.7627464443892554,0.7419855889946875,0.4123077531176912,7.121904629783663,63.789603768187305,1.335231939055193,0.3807989672430946,0.3136187302595888,1
