dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_service/10S/medium,Toto-2.0-2.5B,27763.90940266927,27763.90940266927,41.2702687968905,1.0186857744027622,0.0604464156287057,0.0542978547906904,9.562405554002432,166.62505634708506,0.1254059338788568,0.0310609743418462,0.0238952925749009,Web/CloudOps,2
bizitobs_service/10S/long,Toto-2.0-2.5B,131511.32161706348,131511.32161706348,76.85906156994048,1.3051753331303195,0.0738164467786355,0.0715581479308102,21.513765226364455,362.6448974093852,0.2686589413648973,0.0569396516073668,0.0530419139206053,Web/CloudOps,2
bitbrains_rnd/H/short,Toto-2.0-2.5B,1983360.1157023225,1983360.1157023225,149.18162702665543,5.720627956260329,1.3124588676365876,0.5131227070862825,194.81805750183915,1408.318186952907,6.163489437974601,0.6528917903901243,0.6228980276049557,Web/CloudOps,2
loop_seattle/D/short,Toto-2.0-2.5B,19.187674501338364,19.187674501338364,2.9261851591222428,0.8783492232517153,0.0538858768125559,0.0540453674373735,8.030843952632036,4.380373785573369,0.0782831301234344,0.0522948371052871,0.0427811824162314,Transport,1
jena_weather/D/short,Toto-2.0-2.5B,475.6280753968254,475.6280753968254,10.670738777281748,1.1409950163147338,0.7592123325302718,0.4805494890220544,7.277472375319329,21.808898995520735,0.1313252169456433,0.0642552879530796,0.0514610794670726,Nature,21
solar/W/short,Toto-2.0-2.5B,1767093.299270073,1767093.299270073,1080.5359189666972,1.1872236388529096,0.2456239070335444,0.2109892323543887,6.010023650859895,1329.32061567933,0.27134757231576,0.2205643957923244,0.1614667172096148,Energy,1
loop_seattle/H/short,Toto-2.0-2.5B,58.25479924429519,58.25479924429519,3.9219985488676943,0.7962614823588063,0.1096545430192164,0.0900280751594703,6.835167507719064,7.632483163708597,0.1351027135723118,0.0694233626479736,0.0555774857255327,Transport,1
loop_seattle/H/medium,Toto-2.0-2.5B,62.57636435305002,62.57636435305002,4.130230914451513,0.8463047234187263,0.1156688692646007,0.0938541342593234,6.723694017816176,7.9105223818057695,0.1398175977628186,0.0730013691627425,0.058125585678021,Transport,1
loop_seattle/H/long,Toto-2.0-2.5B,57.89871455383825,57.89871455383825,4.021326928652149,0.8429144210723809,0.1194610378198456,0.0926104719928358,6.613898996516906,7.6091204849074545,0.1359851499824483,0.071866485306136,0.0570170424482246,Transport,1
ett1/15T/short,Toto-2.0-2.5B,5.093204643612816,5.093204643612816,1.0603591101510184,0.6707569545022304,0.4845259497746461,0.2298930774985829,4.7634487293711985,2.256812939437564,0.4266315681653331,0.2004520011724443,0.1572983232834568,Energy,7
ett1/15T/medium,Toto-2.0-2.5B,9.290864955357144,9.290864955357144,1.5836946614583334,0.9831117518030298,0.741117259413706,0.3805410157676807,6.4216293468531385,3.048092018846732,0.580969283911651,0.3018537326672542,0.2300133849926804,Energy,7
ett1/15T/long,Toto-2.0-2.5B,8.360154389880952,8.360154389880952,1.5519813368055555,0.9920788065098624,0.768094917393984,0.3834644795678318,6.9447945180808475,2.891393157265361,0.5511023946184499,0.2958091773052461,0.2266889901741672,Energy,7
kdd_cup_2018/D/short,Toto-2.0-2.5B,2902.063062080258,2902.063062080258,21.113453880587556,1.188164229425226,0.5136467450254338,0.4634017393060832,9.39735327235823,53.87079971636079,1.2067631484350116,0.4729637988191437,0.3775496074406644,Nature,1
jena_weather/H/short,Toto-2.0-2.5B,1142.9488760964912,1142.9488760964912,8.216552759870053,0.513757192967183,1.0734587792583787,0.6067472447540176,4.2569360969675,33.80752691482314,0.2072379780769665,0.0503669429890061,0.0408661824092184,Nature,21
jena_weather/H/medium,Toto-2.0-2.5B,1321.5627976190476,1321.5627976190476,10.325476655505952,0.8667727872625801,2.1668074643029644,0.6961082680444702,5.9337572290809995,36.35330518149688,0.2224523048964804,0.0631834181157533,0.0505358208724343,Nature,21
jena_weather/H/long,Toto-2.0-2.5B,1748.5284391534392,1748.5284391534392,12.467247437169313,1.0884861909817531,2.047839916146253,0.6811078706413384,8.29632772269005,41.815409111396235,0.2517751162813885,0.0750666498285358,0.0607464850897423,Nature,21
sz_taxi/H/short,Toto-2.0-2.5B,7.133935912042602,7.133935912042602,1.8311346005170772,0.5577355662346308,1.055221549466125,0.292299299294047,3.875697284702693,2.6709428882030783,0.2488148181707308,0.1705814919091408,0.1342716147374199,Transport,1
bitbrains_fast_storage/5T/short,Toto-2.0-2.5B,1618106.171105864,1618106.171105864,137.45926217707705,0.6481486723088997,1.5829867510960336,0.7043777786544388,12.085735298685242,1272.048022326934,3.993916178158015,0.431588085835325,0.3401440851678896,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Toto-2.0-2.5B,3608460.97146437,3608460.97146437,281.184509487542,0.9086909641501172,4.033711644873216,0.7804219745577485,19.925936415799676,1899.5949493153455,5.771494100984438,0.8543161995563648,0.5821544111768728,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Toto-2.0-2.5B,3635424.292762966,3635424.292762966,301.85946968903,0.8091540275700998,4.08853614014461,0.7933442266685099,14.344900499753836,1906.6788646132743,5.03878297187412,0.7977244537593051,0.5908863237122495,Web/CloudOps,2
bizitobs_l2c/5T/short,Toto-2.0-2.5B,12.36500999813988,12.36500999813988,1.854688226609003,0.1887451880972246,0.0846225062009905,0.1695889053124842,1.6225511021077548,3.5163916161514037,0.1207671213777479,0.0636975009131421,0.0510884752307621,Web/CloudOps,7
